date,value
2017-01-01,100.0030753833937
2017-01-02,103.24120104787885
2017-01-03,102.83386118190026
2017-01-04,99.36340373959312
2017-01-05,97.1993461224812
2017-01-06,94.49773033884793
2017-01-07,97.36322168795604
2017-01-08,103.91133347655101
2017-01-09,103.44459104551545
2017-01-10,102.66587421376056
2017-01-11,103.36265605838268
2017-01-12,101.44199698960124
2017-01-13,99.55002194412904
2017-01-14,97.51854340884468
2017-01-15,101.15891528371318
2017-01-16,105.91953761140103
2017-01-17,102.45149481970583
2017-01-18,101.51093581058478
2017-01-19,95.65622958504092
2017-01-20,94.34588392248237
2017-01-21,93.75345908142432
2017-01-22,99.73004753280156
2017-01-23,101.02974377641743
2017-01-24,105.11960345380805
2017-01-25,104.69596595414443
2017-01-26,101.79422161298697
2017-01-27,94.307498515359
2017-01-28,97.5662476421755
2017-01-29,102.28808404676384
2017-01-30,106.06704574093953
2017-01-31,103.18882174879901
2017-02-01,102.89063668230222
2017-02-02,99.64165909887856
2017-02-03,98.25996453459072
2017-02-04,103.68489455591299
2017-02-05,103.37149008086176
2017-02-06,106.66406745399712
2017-02-07,109.98674109133138
2017-02-08,105.86240137548516
2017-02-09,103.50890029441297
2017-02-10,102.6107456853255
2017-02-11,103.43204763203006
2017-02-12,102.72004727417226
2017-02-13,107.1623765063624
2017-02-14,111.85298067994911
2017-02-15,104.67433956681289
2017-02-16,105.92903309646614
2017-02-17,104.06188645045721
2017-02-18,102.7033295137725
2017-02-19,110.93916810936058
2017-02-20,112.60510202483515
2017-02-21,108.06730217833469
2017-02-22,107.6393505957022
2017-02-23,106.8259395967215
2017-02-24,104.0603370534167
2017-02-25,106.41597441406675
2017-02-26,107.65138241206651
2017-02-27,111.43902207181226
2017-02-28,114.57393536851309
2017-03-01,108.73696625573233
2017-03-02,106.69329197596763
2017-03-03,103.67482814315221
2017-03-04,105.21811790810874
2017-03-05,104.70749662432814
2017-03-06,107.47345555269537
2017-03-07,109.22059915572493
2017-03-08,110.84262782908819
2017-03-09,110.1928602124372
2017-03-10,103.21728740977247
2017-03-11,103.01452025210631
2017-03-12,108.68643941728364
2017-03-13,105.79824658992845
2017-03-14,108.13989635142956
2017-03-15,108.16777777870976
2017-03-16,109.64064240927955
2017-03-17,108.25759296969325
2017-03-18,106.41864664926659
2017-03-19,107.71933934855086
2017-03-20,109.96738134255422
2017-03-21,114.96513151667126
2017-03-22,110.2522351408032
2017-03-23,106.74422932183852
2017-03-24,106.41882874327531
2017-03-25,106.35134673621344
2017-03-26,108.26297455637221
2017-03-27,108.15768005675962
2017-03-28,110.52631901122461
2017-03-29,108.55066193117489
2017-03-30,109.84108929294142
2017-03-31,108.50189847217402
2017-04-01,107.50931205368194
2017-04-02,110.96357516799225
2017-04-03,111.23673739960547
2017-04-04,114.47045008732871
2017-04-05,111.2672191733125
2017-04-06,109.50436094457552
2017-04-07,103.53082923807831
2017-04-08,106.46158960740287
2017-04-09,104.65674743823764
2017-04-10,104.46917125913626
2017-04-11,108.35583256863254
2017-04-12,106.55908985737788
2017-04-13,106.53696402302208
2017-04-14,111.1373377706756
2017-04-15,106.50271742634284
2017-04-16,107.2686010768868
2017-04-17,111.04074656466354
2017-04-18,112.89347479670063
2017-04-19,110.08855984288572
2017-04-20,106.91976635958108
2017-04-21,107.32110281336386
2017-04-22,108.23213095618925
2017-04-23,106.80336739790705
2017-04-24,110.00107419823884
2017-04-25,111.18178123664211
2017-04-26,107.04784201069282
2017-04-27,106.69778329982041
2017-04-28,103.15192878769707
2017-04-29,107.50637958105833
2017-04-30,109.38156274900214
2017-05-01,111.24700525981501
2017-05-02,109.89886449323238
2017-05-03,108.65000276882722
2017-05-04,101.46154502357913
2017-05-05,100.13196876076644
2017-05-06,104.52487691987493
2017-05-07,102.12670031541586
2017-05-08,109.9708978526847
2017-05-09,106.224986722802
2017-05-10,109.08480502904602
2017-05-11,104.22391515690015
2017-05-12,105.71268169499055
2017-05-13,105.86925279466294
2017-05-14,103.82774041185222
2017-05-15,111.33387721667964
2017-05-16,114.40826180573181
2017-05-17,109.96280280819488
2017-05-18,105.65769717585138
2017-05-19,103.5853800448322
2017-05-20,101.89222072417539
2017-05-21,108.45756520726465
2017-05-22,108.33084606403595
2017-05-23,109.09312667087157
2017-05-24,105.62964724565609
2017-05-25,102.64910345828334
2017-05-26,99.18592030923074
2017-05-27,105.3053079784284
2017-05-28,106.27725824387045
2017-05-29,110.81086292732289
2017-05-30,109.82062519981412
2017-05-31,105.73632002100297
2017-06-01,103.0030603918155
2017-06-02,100.67857540628877
2017-06-03,102.3315938179366
2017-06-04,104.08163101581874
2017-06-05,106.30976410275501
2017-06-06,104.07729970064504
2017-06-07,102.6899973631645
2017-06-08,106.26390408426161
2017-06-09,101.22847763859177
2017-06-10,99.41520065934068
2017-06-11,104.21119767408017
2017-06-12,110.14023542545638
2017-06-13,104.92770016618721
2017-06-14,104.02913820544741
2017-06-15,100.5839495456251
2017-06-16,95.72834896871856
2017-06-17,101.18083510969781
2017-06-18,103.50563880591079
2017-06-19,106.0056905852004
2017-06-20,104.51272467409484
2017-06-21,105.00344413475655
2017-06-22,100.68522745940504
2017-06-23,99.29162116588091
2017-06-24,97.47361549157384
2017-06-25,98.514681654819
2017-06-26,106.64141630152768
2017-06-27,104.85038988522331
2017-06-28,104.19975232108243
2017-06-29,101.09533281229983
2017-06-30,98.176856196668
2017-07-01,97.9944102290832
2017-07-02,102.80373785694833
2017-07-03,103.72830948042055
2017-07-04,104.03873437679592
2017-07-05,102.66571384127745
2017-07-06,102.9717421311556
2017-07-07,101.19601624997469
2017-07-08,100.89328219148803
2017-07-09,100.44447629080771
2017-07-10,99.55036708867809
2017-07-11,104.5868672489826
2017-07-12,104.71343785603759
2017-07-13,99.96689778952067
2017-07-14,99.11798898722986
2017-07-15,100.53119613631459
2017-07-16,103.26025761324074
2017-07-17,105.91066263654733
2017-07-18,103.09576306033192
2017-07-19,104.9681683635745
2017-07-20,96.7863132672035
2017-07-21,98.13013119353087
2017-07-22,98.9047614036058
2017-07-23,102.2061281790348
2017-07-24,107.3764659788409
2017-07-25,108.02883280494882
2017-07-26,99.79097109605293
2017-07-27,93.11370697761912
2017-07-28,96.05615127834987
2017-07-29,93.81379284030868
2017-07-30,97.46965826885564
2017-07-31,102.40280479469857
2017-08-01,97.74219493561193
2017-08-02,92.79219900894206
2017-08-03,94.71662696825501
2017-08-04,94.30332483907318
2017-08-05,94.57785963766007
2017-08-06,97.44986781097585
2017-08-07,97.69671818273949
2017-08-08,95.74330464220924
2017-08-09,96.41423688764372
2017-08-10,92.6568374856051
2017-08-11,88.83443031070244
2017-08-12,93.84961441317013
2017-08-13,96.4953879408127
2017-08-14,100.07537250986955
2017-08-15,97.60441808283208
2017-08-16,95.53577363215645
2017-08-17,91.8492948765564
2017-08-18,90.02239494304459
2017-08-19,93.17483013069858
2017-08-20,94.05419990396086
2017-08-21,98.61248134735446
2017-08-22,99.98882151783462
2017-08-23,102.85182715374903
2017-08-24,93.45301865090141
2017-08-25,94.76944973539634
2017-08-26,94.03826459311792
2017-08-27,96.00654377629931
2017-08-28,94.57106287670183
2017-08-29,96.07281385858411
2017-08-30,97.78901474781725
2017-08-31,94.42033491952789
2017-09-01,92.86418162267438
2017-09-02,92.50636562912307
2017-09-03,98.05700899604795
2017-09-04,98.71248810486577
2017-09-05,93.13771152437899
2017-09-06,92.79438650318305
2017-09-07,87.48306146093714
2017-09-08,81.54327850764169
2017-09-09,87.17368672954427
2017-09-10,96.17460583377702
2017-09-11,97.94328594985993
2017-09-12,95.22113626769163
2017-09-13,92.8368368344723
2017-09-14,95.08849549296585
2017-09-15,92.95738439775067
2017-09-16,93.04328264985881
2017-09-17,94.92300884751977
2017-09-18,97.29846989818311
2017-09-19,99.79526184059033
2017-09-20,98.29642615427905
2017-09-21,94.8914716166747
2017-09-22,89.793429783465
2017-09-23,92.8612849266555
2017-09-24,93.20880915733139
2017-09-25,99.19674998431925
2017-09-26,95.31859153544085
2017-09-27,94.74528428362196
2017-09-28,92.88821522796589
2017-09-29,88.2724228290008
2017-09-30,95.27467562877702
2017-10-01,99.54034805642084
2017-10-02,97.85026275651012
2017-10-03,99.91132836641737
2017-10-04,97.90745953990935
2017-10-05,87.68185871936788
2017-10-06,90.18170322327455
2017-10-07,91.64424669221451
2017-10-08,94.71927874281612
2017-10-09,94.47260101979253
2017-10-10,96.05149268865824
2017-10-11,95.07497803677452
2017-10-12,96.16666218970701
2017-10-13,93.90920990559154
2017-10-14,93.40806136589971
2017-10-15,99.18232526405613
2017-10-16,97.71479587944609
2017-10-17,97.21080817751346
2017-10-18,91.61481051868743
2017-10-19,95.9171338042978
2017-10-20,95.57579258189054
2017-10-21,96.58190981781641
2017-10-22,98.51242328231305
2017-10-23,99.3305437858604
2017-10-24,99.59905000776233
2017-10-25,96.72099448595726
2017-10-26,93.77617121837447
2017-10-27,92.70191743197768
2017-10-28,97.1865836754973
2017-10-29,98.74715867502849
2017-10-30,99.28786111938663
2017-10-31,97.88870028453871
2017-11-01,95.38220697976848
2017-11-02,98.06808105820781
2017-11-03,95.87005117627155
2017-11-04,95.17221730799665
2017-11-05,96.02439727602226
2017-11-06,95.91842735240219
2017-11-07,98.1768115131631
2017-11-08,99.63196328332994
2017-11-09,95.15096549569155
2017-11-10,93.24758746565315
2017-11-11,93.78899666816051
2017-11-12,97.0056943923197
2017-11-13,95.50401060499094
2017-11-14,98.00036731516938
2017-11-15,95.65951352955388
2017-11-16,97.18053907751487
2017-11-17,93.13414687001293
2017-11-18,96.17920006424133
2017-11-19,101.94639914587728
2017-11-20,101.13336353057916
2017-11-21,99.79809493712558
2017-11-22,99.46137782882444
2017-11-23,96.95959993868902
2017-11-24,92.9695957266824
2017-11-25,96.31081834805599
2017-11-26,103.72075650567966
2017-11-27,102.48195340015411
2017-11-28,101.8404044320363
2017-11-29,97.69936413172064
2017-11-30,97.57527210185809
2017-12-01,93.10571881187181
2017-12-02,92.97432295410523
2017-12-03,101.08050140807258
2017-12-04,100.34660167639532
2017-12-05,104.74094199241506
2017-12-06,105.83174034378618
2017-12-07,101.23244599328194
2017-12-08,99.6276767029755
2017-12-09,103.79361842700605
2017-12-10,102.28402189823993
2017-12-11,102.17999830954889
2017-12-12,99.96262163529332
2017-12-13,100.79234209930259
2017-12-14,102.84839414219272
2017-12-15,101.87517498521827
2017-12-16,98.04565650397622
2017-12-17,98.93023721717671
